ticker,trailing_pe,forward_pe,dividend_yield,avg_volume,market_cap,price_to_book,trailing_eps,forward_eps,beta
GGAL,23.4,7.558989,0.048899997,1018017,7704870912,0.020863239,2.3,7.12,1.591
YPF,14.767676,6.288172,0.0,1750962,13460400128,0.0012123894,1.98,4.65,1.472
BMA,10.677897,7.829052,0.2723,286709,6106185216,0.015866982,7.42,10.12,1.496
BBAR,24.396826,11.385185,0.1112,773390,3776854528,0.0045371903,0.63,1.35,1.332
SUPV,8.678572,8.678572,0.0175,1176428,994064448,0.0065647997,1.12,1.12,1.595
PAM,7.7782707,9.006419,0.0,219196,4451104768,29.944517,9.02,7.79,1.0
CEPU,10.238937,12.178947,0.0783,325064,1738670080,0.009915831,1.13,0.95,1.0
TX,88.6,4.802168,0.0875,180184,6957155328,0.5826264,0.4,7.38,1.0
EDN,6.3241105,25.806452,0.0,122704,1667126400,0.03125699,5.06,1.24,1.13
CRESY,8.911504,4.598173,0.076799996,160642,712222912,0.008017956,1.13,2.19,1.0
TEO,10.858491,-15.346667,0.0232,184914,4130478592,0.0053476407,1.06,-0.75,0.665
TGS,22.940594,12.872223,0.0,161400,4231073792,0.008961617,1.01,1.8,0.542
LOMA,16.67742,13.605264,0.1195,485321,1413529600,0.004100888,0.62,0.76,1.272
MELI,66.218956,38.846443,0.0,339385,94906040320,23.71464,28.27,48.19,1.612
VIST,9.194982,6.3591456,0.0,844423,4610579456,2.9824672,5.18,7.49,-0.039
PBR,5.516129,4.668942,0.1372,15723389,84352524288,0.46530613,2.48,2.93,1.0
NU,49.129032,24.564516,0.0,38434781,72941346816,10.532503,0.31,0.62,1.135
ITUB,8.728572,7.022989,0.006,20213370,57265606656,0.31122658,0.7,0.87,0.555
VALE,4.9027777,5.1159425,0.16790001,30729092,47779536896,0.21677276,2.16,2.07,0.918
BBD,10.173912,5.3181815,0.016900001,29901126,24122357760,0.14852427,0.23,0.44,0.646
BABA,24.213367,9.54306,0.0212,20142310,231532199936,0.23878214,3.89,9.87,0.349
TME,23.244898,14.792209,0.012,9886007,19481229312,0.28727806,0.49,0.77,0.659
JD,13.894927,9.263285,0.0198,19767589,61177065472,0.25431877,2.76,4.14,0.417
BIDU,11.613577,8.043399,0.0,3956262,32109221888,0.12300357,7.66,11.06,0.505
PDD,12.573106,8.361249,0.0,16142982,163611000832,0.6417261,9.37,14.09,0.705
ZTO,15.137931,11.198979,0.0442,2627943,18015574016,0.29302222,1.45,1.96,-0.088
SONY,16.731092,16.591665,0.0058,2966646,120297406464,0.015585749,1.19,1.2,0.814
TM,8.383528,10.901774,0.0219,372387,228139302912,0.06582058,20.52,15.78,0.404
MUFG,14.234568,11.194175,0.0231,1998865,134557409280,0.00666139,0.81,1.03,0.523
AAPL,37.32895,27.311672,0.0044,47636335,3430681935872,60.24954,6.08,8.31,1.24
MSFT,34.834297,28.263546,0.007900001,18891451,3141534220288,10.920321,12.13,14.95,0.904
GOOGL,23.653847,19.905134,0.0045,24525157,2191547039744,6.9632607,7.54,8.96,1.034
AMZN,44.482906,33.905537,0.0,36179309,2189012631552,8.443723,4.68,6.14,1.146
TSLA,87.76502,99.141975,0.0,82602112,1031135494144,14.730808,3.66,3.24,2.295
META,27.851608,23.303282,0.0034,11808803,1487782936576,9.040899,21.16,25.29,1.215
NVDA,69.30986,36.362072,0.00029999999,283183682,3621363908608,62.34375,2.13,4.06,1.657
PYPL,19.858852,17.045176,0.0,10914467,83220848640,4.1393237,4.18,4.87,1.436
ADBE,41.8511,24.07202,0.0,2708832,217758138368,15.13477,11.82,20.55,1.299
CSCO,22.858269,14.887179,0.0276,17391439,231428325376,5.1181245,2.54,3.9,0.819
IBM,31.154518,20.143261,0.0313,3846379,197615124480,8.083207,6.86,10.61,0.71
ORCL,48.775772,26.431564,0.0085,7993375,524423102464,48.488342,3.88,7.16,1.013
QCOM,19.11745,13.917753,0.0199,8128959,189881024512,7.2401085,8.94,12.28,1.286
AMD,132.0982,29.009804,0.0,37352910,240094724096,4.213779,1.12,5.1,1.706
NFLX,44.84151,33.433136,0.0,3089042,339846201344,14.957575,17.73,23.78,1.25
JPM,13.1728735,14.156511,0.0211,8624225,667179286528,2.0580113,17.99,16.74,1.091
GS,17.270224,13.983389,0.020399999,1929323,184974622720,1.7986577,34.12,42.14,1.342
C,19.552706,9.545201,0.0318,12927756,129797169152,0.67345715,3.51,7.19,1.426
BAC,16.35145,12.330601,0.023,36567326,346277085184,1.275904,2.76,3.66,1.325
WFC,14.561331,12.781022,0.0228,18018029,233197469696,1.4230567,4.81,5.48,1.136
JNJ,25.69752,14.666981,0.0319,6125998,374312697856,5.334546,6.05,10.6,0.518
PFE,35.626667,9.119453,0.0629,32219490,151421976576,1.6404715,0.75,2.93,0.615
GILD,1072.9445,13.066983,0.0319,6217014,120319991808,6.5427876,0.09,7.39,0.192
LLY,89.31686,36.264282,0.0063,3168148,789394161664,52.54597,9.31,22.93,0.43
KO,26.52282,21.521885,0.0304,13739121,275354583040,10.388429,2.41,2.97,0.62
PEP,24.316643,19.132097,0.0328,5283914,226529280000,11.653727,6.79,8.63,0.542
WMT,44.182293,31.1875,0.0098,15448476,681884778496,8.073666,1.92,2.72,0.516
